Time of Race,Date,Racer,Lap,Lap Time,Kart Type,RaceID,Lap Time Seconds,RaceID Name,Track Name,Race Time,Race Date
5:32,06.01.2024,mitchell.whitten,1,01:17.050,SUPER KART,5:3206.01.2024,77.05,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,2,00:37.893,SUPER KART,5:3206.01.2024,37.893,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,3,00:36.681,SUPER KART,5:3206.01.2024,36.681,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,4,00:37.669,SUPER KART,5:3206.01.2024,37.669,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,5,00:35.939,SUPER KART,5:3206.01.2024,35.939,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,6,00:37.633,SUPER KART,5:3206.01.2024,37.633,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,7,00:38.264,SUPER KART,5:3206.01.2024,38.264,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,8,00:35.560,SUPER KART,5:3206.01.2024,35.56,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,9,00:35.366,SUPER KART,5:3206.01.2024,35.366,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,10,00:36.340,SUPER KART,5:3206.01.2024,36.34,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,11,00:35.358,SUPER KART,5:3206.01.2024,35.358,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,12,00:36.237,SUPER KART,5:3206.01.2024,36.237,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,13,00:35.743,SUPER KART,5:3206.01.2024,35.743,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
5:32,06.01.2024,mitchell.whitten,14,00:36.417,SUPER KART,5:3206.01.2024,36.417,5:32pm @ 06/01/2024,Lakeside Track,5:32pm,2024-01-06
